Entry,Site name (site director(s) if multiple entries and/or sample),Lat.,Long.,Site type,Gadidae,Lotidae,Pleuronectidae,Scopthalmidae,Pleuronectidae/Scopthalmidae,Congridae,Trachinidae,Belonidae,Clupeidae,Scombridae,Cottidae,Syngnathidae,Squalidae,Zoarcidae,Triglidae,Sparidae,Labridae,Carangidae,Gobiidae,Moronidae,Anarhichadidae,Callionymidae,Ammodytidae,Xiphiidae,Lamnidae,Triakidae,Rajidae,Mugilidae,Engraulidae,Anguillidae,Salmonidae,Acipenseridae,Gasterosteidae,Cyprinidae,Percidae,Esocidae,Siluridae
81,Sarup I,55.209,10.087,Enclosure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,Signalbakken,57.045817,9.957564,Shell midden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Skellerup Enge,56.177881,10.443979,Shell midden,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
84,Skellingsted,55.589763,11.462189,Bog find,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,Smakkerup Huse,55.6846,11.2358,Waterlogged,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
86,Sølager,55.94971,11.898104,Shell midden,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
87,Somorvskiy 3053,54.841152,11.497963,Submerged,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Sørbylille,55.354781,11.411236,Waterlogged votive find,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
89,Sparregård,54.893356,11.745801,Shell midden,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Sporbyen Scandia ,56.468057,10.0627,Settlement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Thygeslund,56.701734,10.097375,Shell midden,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0
92,Tingbjerggaard,55.59086,11.57616,Waterlogged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
93,Trustrup,55.626304,11.330559,Waterlogged,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
94,Tybrind Vig,55.388427,9.818866,Submerged,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
95,Vængesø II,56.152455,10.541892,Shell midden,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
96,Vængesø III,56.152455,10.541892,Shell midden,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
97,Vedbæk Henriksholm Bøgebakken (G. Hatt),55.852603,12.559704,Burials/open air/shell midden,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Vedbæk Henriksholm Bøgebakken (E. B. Petersen),55.852603,12.559704,Burials/open air/shell midden,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0
99,Vedbæk Magleholm (E. B. Petersen & P. V. Petersen),55.852197,12.541648,Open air,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Vedbæk Magleholm (E. B. Petersen & P. V. Petersen),55.852197,12.541648,Open air,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
101,Vedbæk Maglemosegård,55.848495,12.550836,Shell midden/waterlogged,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
102,Vedbæk Maglemosegårds Vænge,55.847631,12.554353,Open air,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0
103,Vejkonge,55.582371,11.547747,Waterlogged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
104,Vejleby,55.762781,11.888866,Settlement,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,Verup Mose,55.561589,11.509338,Settlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
106,Vestre Strandallé,56.196164,10.236138,Shell midden,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
107,Visborg (S. H. Andersen),56.726517,10.155961,Shell midden,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
108,Visborg (S. H. Andersen),56.726517,10.155961,Shell midden,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Visborg (S. H. Andersen),56.726517,10.155961,Shell midden,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,Visborg (K. J. Gron & H. K. Robson),56.723671,10.150873,Shell midden,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
111,Visborg (K. J. Gron & H. K. Robson),56.723671,10.150873,Shell midden,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,Visborg (K. J. Gron & H. K. Robson),56.723671,10.150873,Shell midden,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
113,Yderhede,57.483477,10.316915,Waterlogged,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0
