long,lat,systemnr,stednr,loknr,sbext,frednr,stednavn,stednavnsb,anlnr,anlaegstyp,anlaegsbet,dateringsk,datering,fra_aar,til_aar,kommunenav,kommunenr,sevaerdigh,url
10.60935865,55.09391256,147717,90515,4,,,Bjørnemose,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Svendborg,479,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/147717/
11.80370539,55.69643364,148347,30319,114,,,Eriksholm,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Holbæk,316,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148347/
11.45330844,55.81340609,148367,30403,527,,,Blankebjerggård,"Ejendom, gård, hus",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Odsherred,306,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148367/
11.48622142,55.78108804,148376,30403,528,,,Storø,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Odsherred,306,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148376/
11.75413687,55.74271746,148405,30714,119,,,Bognæs,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Holbæk,316,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148405/
11.76836854,55.74926515,148406,30714,120,,,Bognæs,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Holbæk,316,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148406/
11.76875826,55.74554385,148407,30714,121,,,Tornehage,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Holbæk,316,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148407/
11.7553825,55.76851517,148408,30714,122,,,Hønsehale,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Holbæk,316,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148408/
11.71489494,56.19613827,148470,10509,111,,,Tjørnebo,Uspecificeret,1,3188,Skaldynge,OXXX,Oldtid,-250000,1066,Halsnæs,260,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148470/
10.1647895,56.71401462,148527,120413,99,,,Havnø Møllebakke,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Mariagerfjord,846,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148527/
10.65941154,56.36064921,148534,140201,106,,,Kærby,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148534/
10.68356755,56.36882416,148535,140201,107,,,Ellegård,"Ejendom, gård, hus",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148535/
10.69022947,56.3660647,148536,140201,108,,,Holtbakke,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148536/
10.68026149,56.37022588,148537,140201,109,,,Ellegård,"Ejendom, gård, hus",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148537/
10.70829513,56.38736533,148538,140201,110,,,Skarnæs,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148538/
10.79332525,56.40737195,148542,140213,21,,,Næsby,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148542/
10.90664133,56.36340139,148555,140214,106,,,Mellem Klintsø,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148555/
10.50701118,56.27902894,148558,141101,230,,,Stendyssen,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148558/
10.58212371,56.22235277,148562,140501,109,,,Strandkær,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148562/
10.51245719,56.27704858,148563,140505,26,,,Kalkær A,Beretningsnavn,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148563/
10.51309128,56.27510891,148564,140505,27,,,Kalkjær B,Beretningsnavn,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148564/
10.45210307,56.22771204,148565,140508,27,,,Rolsøgård,"Ejendom, gård, hus",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148565/
10.43125352,56.21839423,148566,140509,43,,,Tved,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148566/
10.41471067,56.21629315,148567,140509,44,,,Dejret,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148567/
10.41574515,56.21723379,148568,140509,45,,,Dejret,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148568/
10.41280901,56.21676416,148569,140509,46,,,Dejret,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148569/
11.78815569,55.66090277,148578,20606,92,,,Ejernæs,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Lejre,350,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148578/
10.74254831,56.4113126,148721,140105,163,,,Ginnerup,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-2900,-2601,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148721/
10.74358951,56.41068692,148722,140105,164,,,Ginnerup,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-2900,-2601,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148722/
9.946928566,55.83257493,148780,170112,69,,,Sejet,Uspecificeret,1,3188,Skaldynge,OXXX,Oldtid,-250000,1066,Horsens,615,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/148780/
11.98979168,55.69147428,151715,20404,65,,,Bognæs hals,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Lejre,350,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/151715/
12.04142151,55.68041515,152397,20404,66,,,Bognæs,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Lejre,350,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/152397/
12.03150327,55.6811641,152398,20404,67,,,Kragevig,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Lejre,350,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/152398/
