Entry,Site name (site director(s) if multiple entries and/or sample),Lat.,Long.,Site type,Phocidae (Seal unspec.),Halichoerus grypus (Grey seal),Pagophilus groenlandicus (Harp seal),Phoca vitulina (Harbour seal),Pagophilus groenlandicus (Harp seal)/Phoca vitulina (Harbour seal),Phoca largha (Spotted seal),Pusa hispida (Ringed seal),Cetacea (Cetacean unspec.),Mysticeti (Baleen whale unspec.),Large whale,Small whale,Balaenoptera physalus (Fin whale),Physeter macrocephalus (Sperm whale),Hyperoodon ampullatus (Northern bottlenose whale),Delphinapterus leucas (Beluga whale),Delphinidae (Dolphin unspec.),Delphinus delphis (Common dolphin),Globicephala macrorhynchus (Short-finned pilot whale)/Orcinus orca (Orca),Lagenorhynchus acutus (Atlantic white-sided dolphin)/Lagenorhynchus albirostris (White-beaked dolphin),Lagenorhynchus albirostris (White-beaked dolphin),Lagenorhynchus albirostris (White-beaked dolphin)/Tursiops truncatus (Bottlenose dolphin),Orcinus orca (Orca),Stenella sp. (Springer),Tursiops truncatus (Bottlenose dolphin),Delphinus delphis (Common dolphin)/Phocoena phocoena (Common porpoise),Phocoena phocoena (Common porpoise)
51,Kolind,56.43,10.27,Shell midden,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Koustrup,56.303042,10.74091,Settlement,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Krabbesholm I,56.5751,9.05061,Shell midden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,Krabbesholm II,56.5751,9.05061,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Langø,55.574565,10.160352,Shell midden,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Lidsø,54.686022,11.326419,Settlement,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Lindø Nr. 2,54.879065,10.705086,Settlement,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,Lollikhuse,55.76049,12.022082,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,Lyø,55.18,10.37,Open air,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Lyø,55.18,10.37,Open air,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Lystrup Enge,56.237504,10.237777,Shell midden/submerged,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0
62,Mejlgård,56.501417,10.658606,Shell midden,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
63,Møllegabet II,54.901142,10.420017,Submerged,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Munkholm,55.675166,11.804741,Shell midden,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Nederst,56.337772,10.627791,Shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"Nekselø, Pandebjerg",55.782179,11.289167,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Nivågård,55.927094,12.510882,Shell midden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,Nivågård,55.927094,12.510882,Shell midden,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,Norslund X2,56.011676,10.224106,Shell midden,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,Norsminde I,56.026524,10.255637,Shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,Ølby Lyng,55.486106,12.146154,Waterlogged,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,Ordrup Næs,55.762736,12.579822,Waterlogged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,Ørum Å (Nationalmuseet),55.753426,9.748175,Shell midden,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Øsløs,57.026819,9.011387,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Østenkær,57.563492,10.425588,Waterlogged,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
76,Ringkloster,56.01304,9.966107,Waterlogged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
